area_code,area_name,tier,case_rate,case_rate_over_60s,growth_rate,positivity_rate,estimated_admissions_rate,estimated_occupancy_rate,score
E07000117,Burnley,Tier 3,305.9,210.2,0.8,9.7,6.6,50.7,47.84798534798534
E07000118,Chorley,Tier 3,186.9,160.3,0.7,6.5,3.4,35,30.34798534798535
E07000119,Fylde,Tier 3,168.4,178.3,0.6,5.3,6.2,44,31.26373626373627
E07000120,Hyndburn,Tier 3,271.5,123.5,0.6,7.9,6.5,50.6,36.556776556776555
E07000121,Lancaster,Tier 3,114.4,90.6,1,4.2,2.5,48,18.250915750915752
E07000122,Pendle,Tier 3,307.2,181.3,0.8,10.2,6.6,48.9,45.201465201465204
E07000123,Preston,Tier 3,219.4,255.6,0.7,7.1,3.4,34.7,42.07875457875458
E07000124,Ribble Valley,Tier 3,183.9,101.6,0.8,6.4,5.7,46.1,25.924908424908423
E07000125,Rossendale,Tier 3,284,164,0.8,9,5.8,49.1,41.32783882783883
E07000126,South Ribble,Tier 3,232.9,127.5,1,8.3,3.4,35.1,31.758241758241756
E07000127,West Lancashire,Tier 3,125.1,107.7,0.5,4,2.5,42.9,20.265567765567766
E07000128,Wyre,Tier 3,126.7,120.7,0.7,4.6,5.9,44.9,22.17032967032967
E07000129,Blaby,Tier 3,236.4,135.4,0.6,8.8,2,25.2,31.776556776556774
E07000130,Charnwood,Tier 3,149.6,130.5,0.5,6,2.1,25.6,23.159340659340657
E07000131,Harborough,Tier 3,219.6,132.3,0.7,7.7,2.1,24.3,29.78937728937729
E07000132,Hinckley and Bosworth,Tier 3,114.9,50.1,0.4,4.4,2,24.1,12.316849816849816
E07000133,Melton,Tier 3,187.5,111.5,0.6,6.1,2.6,29.3,25.293040293040292
E07000134,North West Leicestershire,Tier 3,206.5,181.8,0.6,7.9,2.2,28.3,33.50732600732601
E07000135,Oadby and Wigston,Tier 3,370.1,307.1,0.8,8.7,2,25.6,59.7893772893773
E07000136,Boston,Tier 3,520.1,569.6,1.2,14.1,4.3,44.1,100
E07000137,East Lindsey,Tier 3,336.6,379.1,0.6,9.7,4,44.1,65.26556776556777
E07000138,Lincoln,Tier 3,338.4,332.7,0.9,9.4,4.3,44.5,61.24542124542124
E07000139,North Kesteven,Tier 3,191.6,158.6,0.7,6.5,4.2,43.4,31.465201465201464
E07000140,South Holland,Tier 3,141,106.6,0.9,5,2.9,29.5,20.55860805860806
E07000141,South Kesteven,Tier 3,155.9,148.6,0.8,5.8,3.2,29.4,25.85164835164835
E07000142,West Lindsey,Tier 3,217.4,236.4,0.9,6.6,3.9,43.7,40.97985347985348
E07000143,Breckland,Tier 2,58.6,43.1,0.7,2,1.7,10,5.009157509157509
E07000144,Broadland,Tier 2,107,66.2,1,4,1.9,9,11.694139194139193
E07000145,Great Yarmouth,Tier 2,74.5,45.6,0.7,2.5,1.6,12.6,6.968864468864469
E07000146,King's Lynn and West Norfolk,Tier 2,89.8,54.3,0.6,3.3,1,17.3,9.606227106227106
