area_code,area_name,indicator,period,measure,unit,value
E02001266,Lostock & Stretford Meadows,People on Universal Credit,2019-06,count,persons,416
E02001267,Urmston East,People on Universal Credit,2019-06,count,persons,221
E02001268,Urmston West,People on Universal Credit,2019-06,count,persons,113
E02001269,Stretford East,People on Universal Credit,2019-06,count,persons,435
E02001270,Sale North,People on Universal Credit,2019-06,count,persons,197
E02001271,Ashton upon Mersey North,People on Universal Credit,2019-06,count,persons,290
E02001272,Sale East,People on Universal Credit,2019-06,count,persons,131
E02001273,Sale Central,People on Universal Credit,2019-06,count,persons,217
E02001274,Ashton upon Mersey South,People on Universal Credit,2019-06,count,persons,92
E02001275,Partington,People on Universal Credit,2019-06,count,persons,701
E02001276,Sale Moor,People on Universal Credit,2019-06,count,persons,367
E02001277,Broadheath & Firsway,People on Universal Credit,2019-06,count,persons,643
E02001278,West Timperley,People on Universal Credit,2019-06,count,persons,142
E02001279,Timperley North,People on Universal Credit,2019-06,count,persons,76
E02001280,Timperley East,People on Universal Credit,2019-06,count,persons,395
E02001281,Timperley South,People on Universal Credit,2019-06,count,persons,81
E02001282,Altrincham East,People on Universal Credit,2019-06,count,persons,220
E02001283,"Altrincham West, Dunham & Warburton",People on Universal Credit,2019-06,count,persons,165
E02001284,Hale,People on Universal Credit,2019-06,count,persons,84
E02001285,Bowdon,People on Universal Credit,2019-06,count,persons,130
E02001286,Hale Barns,People on Universal Credit,2019-06,count,persons,102
E02001259,Old Trafford,People on Universal Credit,2019-07,count,persons,907
E02001260,Trafford Park West & Kingsway Park,People on Universal Credit,2019-07,count,persons,207
E02001261,Gorse Hill,People on Universal Credit,2019-07,count,persons,514
E02001262,Firswood,People on Universal Credit,2019-07,count,persons,407
E02001263,Davyhulme,People on Universal Credit,2019-07,count,persons,124
E02001264,Trafford Park East & Sevenways,People on Universal Credit,2019-07,count,persons,332
E02001265,Flixton & Moorside,People on Universal Credit,2019-07,count,persons,257
E02001266,Lostock & Stretford Meadows,People on Universal Credit,2019-07,count,persons,420
E02001267,Urmston East,People on Universal Credit,2019-07,count,persons,223
E02001268,Urmston West,People on Universal Credit,2019-07,count,persons,113
E02001269,Stretford East,People on Universal Credit,2019-07,count,persons,440
E02001270,Sale North,People on Universal Credit,2019-07,count,persons,201
E02001271,Ashton upon Mersey North,People on Universal Credit,2019-07,count,persons,292
E02001272,Sale East,People on Universal Credit,2019-07,count,persons,135
E02001273,Sale Central,People on Universal Credit,2019-07,count,persons,223
E02001274,Ashton upon Mersey South,People on Universal Credit,2019-07,count,persons,96
E02001275,Partington,People on Universal Credit,2019-07,count,persons,717
E02001276,Sale Moor,People on Universal Credit,2019-07,count,persons,381
E02001277,Broadheath & Firsway,People on Universal Credit,2019-07,count,persons,652
E02001278,West Timperley,People on Universal Credit,2019-07,count,persons,139
E02001279,Timperley North,People on Universal Credit,2019-07,count,persons,73
E02001280,Timperley East,People on Universal Credit,2019-07,count,persons,412
E02001281,Timperley South,People on Universal Credit,2019-07,count,persons,84
E02001282,Altrincham East,People on Universal Credit,2019-07,count,persons,221
E02001283,"Altrincham West, Dunham & Warburton",People on Universal Credit,2019-07,count,persons,169
E02001284,Hale,People on Universal Credit,2019-07,count,persons,83
E02001285,Bowdon,People on Universal Credit,2019-07,count,persons,141
E02001286,Hale Barns,People on Universal Credit,2019-07,count,persons,100
E02001259,Old Trafford,People on Universal Credit,2019-08,count,persons,924
E02001260,Trafford Park West & Kingsway Park,People on Universal Credit,2019-08,count,persons,215
E02001261,Gorse Hill,People on Universal Credit,2019-08,count,persons,521
E02001262,Firswood,People on Universal Credit,2019-08,count,persons,431
E02001263,Davyhulme,People on Universal Credit,2019-08,count,persons,117
E02001264,Trafford Park East & Sevenways,People on Universal Credit,2019-08,count,persons,334
E02001265,Flixton & Moorside,People on Universal Credit,2019-08,count,persons,261
E02001266,Lostock & Stretford Meadows,People on Universal Credit,2019-08,count,persons,418
E02001267,Urmston East,People on Universal Credit,2019-08,count,persons,227
E02001268,Urmston West,People on Universal Credit,2019-08,count,persons,117
E02001269,Stretford East,People on Universal Credit,2019-08,count,persons,438
E02001270,Sale North,People on Universal Credit,2019-08,count,persons,206
E02001271,Ashton upon Mersey North,People on Universal Credit,2019-08,count,persons,300
E02001272,Sale East,People on Universal Credit,2019-08,count,persons,147
E02001273,Sale Central,People on Universal Credit,2019-08,count,persons,225
E02001274,Ashton upon Mersey South,People on Universal Credit,2019-08,count,persons,92
E02001275,Partington,People on Universal Credit,2019-08,count,persons,735
E02001276,Sale Moor,People on Universal Credit,2019-08,count,persons,384
E02001277,Broadheath & Firsway,People on Universal Credit,2019-08,count,persons,669
E02001278,West Timperley,People on Universal Credit,2019-08,count,persons,138
E02001279,Timperley North,People on Universal Credit,2019-08,count,persons,85
E02001280,Timperley East,People on Universal Credit,2019-08,count,persons,417
E02001281,Timperley South,People on Universal Credit,2019-08,count,persons,81
E02001282,Altrincham East,People on Universal Credit,2019-08,count,persons,224
E02001283,"Altrincham West, Dunham & Warburton",People on Universal Credit,2019-08,count,persons,179
E02001284,Hale,People on Universal Credit,2019-08,count,persons,88
E02001285,Bowdon,People on Universal Credit,2019-08,count,persons,147
E02001286,Hale Barns,People on Universal Credit,2019-08,count,persons,108
E02001259,Old Trafford,People on Universal Credit,2019-09,count,persons,954
E02001260,Trafford Park West & Kingsway Park,People on Universal Credit,2019-09,count,persons,210
E02001261,Gorse Hill,People on Universal Credit,2019-09,count,persons,534
E02001262,Firswood,People on Universal Credit,2019-09,count,persons,450
E02001263,Davyhulme,People on Universal Credit,2019-09,count,persons,120
E02001264,Trafford Park East & Sevenways,People on Universal Credit,2019-09,count,persons,353
E02001265,Flixton & Moorside,People on Universal Credit,2019-09,count,persons,272
E02001266,Lostock & Stretford Meadows,People on Universal Credit,2019-09,count,persons,428
E02001267,Urmston East,People on Universal Credit,2019-09,count,persons,229
E02001268,Urmston West,People on Universal Credit,2019-09,count,persons,111
E02001269,Stretford East,People on Universal Credit,2019-09,count,persons,446
E02001270,Sale North,People on Universal Credit,2019-09,count,persons,212
E02001271,Ashton upon Mersey North,People on Universal Credit,2019-09,count,persons,301
E02001272,Sale East,People on Universal Credit,2019-09,count,persons,139
E02001273,Sale Central,People on Universal Credit,2019-09,count,persons,231
E02001274,Ashton upon Mersey South,People on Universal Credit,2019-09,count,persons,99
E02001275,Partington,People on Universal Credit,2019-09,count,persons,761
E02001276,Sale Moor,People on Universal Credit,2019-09,count,persons,397
E02001277,Broadheath & Firsway,People on Universal Credit,2019-09,count,persons,677
