area_name,area_code,date,place,percent
Greater Manchester,E47000001,2020-03-22,Parks,0.21
Greater Manchester,E47000001,2020-03-22,Transit stations,-0.53
Greater Manchester,E47000001,2020-03-22,Workplaces,-0.29
Greater Manchester,E47000001,2020-03-22,Residential,0.08
Greater Manchester,E47000001,2020-03-23,Retail & recreation,-0.44
Greater Manchester,E47000001,2020-03-23,Grocery & pharmacy,-0.09
Greater Manchester,E47000001,2020-03-23,Parks,-0.1
Greater Manchester,E47000001,2020-03-23,Transit stations,-0.58
Greater Manchester,E47000001,2020-03-23,Workplaces,-0.44
Greater Manchester,E47000001,2020-03-23,Residential,0.17
Greater Manchester,E47000001,2020-03-24,Retail & recreation,-0.69
Greater Manchester,E47000001,2020-03-24,Grocery & pharmacy,-0.24
Greater Manchester,E47000001,2020-03-24,Parks,-0.2
Greater Manchester,E47000001,2020-03-24,Transit stations,-0.68
Greater Manchester,E47000001,2020-03-24,Workplaces,-0.57
Greater Manchester,E47000001,2020-03-24,Residential,0.23
Greater Manchester,E47000001,2020-03-25,Retail & recreation,-0.73
Greater Manchester,E47000001,2020-03-25,Grocery & pharmacy,-0.27
Greater Manchester,E47000001,2020-03-25,Parks,-0.15
Greater Manchester,E47000001,2020-03-25,Transit stations,-0.72
Greater Manchester,E47000001,2020-03-25,Workplaces,-0.62
Greater Manchester,E47000001,2020-03-25,Residential,0.26
Greater Manchester,E47000001,2020-03-26,Retail & recreation,-0.73
Greater Manchester,E47000001,2020-03-26,Grocery & pharmacy,-0.28
Greater Manchester,E47000001,2020-03-26,Parks,-0.12
Greater Manchester,E47000001,2020-03-26,Transit stations,-0.74
Greater Manchester,E47000001,2020-03-26,Workplaces,-0.65
Greater Manchester,E47000001,2020-03-26,Residential,0.27
Greater Manchester,E47000001,2020-03-27,Retail & recreation,-0.74
Greater Manchester,E47000001,2020-03-27,Grocery & pharmacy,-0.29
Greater Manchester,E47000001,2020-03-27,Parks,-0.21
Greater Manchester,E47000001,2020-03-27,Transit stations,-0.75
Greater Manchester,E47000001,2020-03-27,Workplaces,-0.65
Greater Manchester,E47000001,2020-03-27,Residential,0.28
Greater Manchester,E47000001,2020-03-28,Retail & recreation,-0.82
Greater Manchester,E47000001,2020-03-28,Grocery & pharmacy,-0.39
Greater Manchester,E47000001,2020-03-28,Parks,-0.56
Greater Manchester,E47000001,2020-03-28,Transit stations,-0.79
Greater Manchester,E47000001,2020-03-28,Workplaces,-0.56
Greater Manchester,E47000001,2020-03-28,Residential,0.2
Greater Manchester,E47000001,2020-03-29,Retail & recreation,-0.84
Greater Manchester,E47000001,2020-03-29,Grocery & pharmacy,-0.46
Greater Manchester,E47000001,2020-03-29,Parks,-0.44
Greater Manchester,E47000001,2020-03-29,Transit stations,-0.8
Greater Manchester,E47000001,2020-03-29,Workplaces,-0.54
Greater Manchester,E47000001,2020-03-29,Residential,0.16
Greater Manchester,E47000001,2020-03-30,Retail & recreation,-0.73
Greater Manchester,E47000001,2020-03-30,Grocery & pharmacy,-0.34
Greater Manchester,E47000001,2020-03-30,Parks,-0.34
Greater Manchester,E47000001,2020-03-30,Transit stations,-0.77
Greater Manchester,E47000001,2020-03-30,Workplaces,-0.68
Greater Manchester,E47000001,2020-03-30,Residential,0.27
Greater Manchester,E47000001,2020-03-31,Retail & recreation,-0.73
Greater Manchester,E47000001,2020-03-31,Grocery & pharmacy,-0.31
Greater Manchester,E47000001,2020-03-31,Parks,-0.24
Greater Manchester,E47000001,2020-03-31,Transit stations,-0.76
Greater Manchester,E47000001,2020-03-31,Workplaces,-0.69
Greater Manchester,E47000001,2020-03-31,Residential,0.27
Greater Manchester,E47000001,2020-04-01,Retail & recreation,-0.75
Greater Manchester,E47000001,2020-04-01,Grocery & pharmacy,-0.33
Greater Manchester,E47000001,2020-04-01,Parks,-0.36
Greater Manchester,E47000001,2020-04-01,Transit stations,-0.78
Greater Manchester,E47000001,2020-04-01,Workplaces,-0.68
